Sales_ID,Customer_ID,Product_ID,Sales_Amount,Region,Sales_Date,Profit_Margin,Discount_Applied,Sales_Channel,Return_Rate
1,12200,13508,2948.8014245138456,Europe,2020-02-10 23:42:42.204467634,0.29403085795143435,Yes,Online,0.0834965310408375
2,13548,3028,2181.9435992081935,Asia,2020-02-10 23:42:42.204467634,0.3277593597745818,Yes,In-Store,0.05827097649739647
3,10270,14583,4346.5844453352975,Asia,2020-02-10 23:42:42.204467634,0.3418695360581177,No,Online,0.1010254635127507
4,13036,5459,381.3460537862167,South America,2020-02-10 23:42:42.204467634,0.2475254280240932,Yes,Online,0.01679661407750359
5,16282,4536,1985.8520330791898,North America,2020-02-10 23:42:42.204467634,0.2606567878558216,No,Online,0.0920805129614115
6,17716,114,4474.40180640957,Australia,2020-02-10 23:42:42.204467634,0.14758389813637118,No,Online,0.054336438383102814
7,13875,10551,1978.4382799994419,Australia,2020-02-10 23:42:42.204467634,0.17083909917158158,Yes,Online,0.07779884795480475
8,1686,13607,3209.1473591826193,South America,2020-02-10 23:42:42.204467634,,Yes,In-Store,0.1789652938049279
9,11254,17710,4689.572193313456,Europe,2020-02-10 23:42:42.204467634,0.28645284740559784,Yes,Online,0.07871185299925557
10,12636,9407,2198.1724500266946,Asia,2020-02-10 23:42:42.204467634,0.27020419220579966,Yes,In-Store,0.0886711089711094
11,13941,17559,3965.433674426155,North America,2020-02-10 23:42:42.204467634,0.22095797662722222,No,In-Store,0.16212424689278293
12,7422,1627,2853.5133726205418,Europe,2020-02-10 23:42:42.204467634,0.1271511066940904,Yes,Online,0.12345663360063608
13,1385,16129,3061.772080463461,Australia,2020-02-10 23:42:42.204467634,0.24930388503488587,No,In-Store,0.12106553224032293
14,9419,8845,3348.5305511765714,South America,2020-02-10 23:42:42.204467634,0.3353530713491449,Yes,In-Store,0.0552694491711039
15,3526,1288,,Australia,2020-02-10 23:42:42.204467634,0.32271977103209565,Yes,Online,0.06070419940656688
16,7022,10092,3221.99963221583,North America,2020-02-10 23:42:42.204467634,0.2865230524979412,Yes,Online,0.05547319411407557
17,52,3621,3017.219377984946,Asia,2020-02-10 23:42:42.204467634,0.3568275594999776,Yes,In-Store,0.1269992458695637
18,5504,15964,2438.552631139576,Asia,2020-02-10 23:42:42.204467634,0.22539282485863307,Yes,Online,0.11840084158668207
19,3243,17053,4050.458292317154,Australia,2020-02-10 23:42:42.204467634,0.3234510947547077,Yes,In-Store,0.16948464542303715
20,9902,9366,3460.237905690647,Europe,2020-02-10 23:42:42.204467634,0.23445523380723804,No,In-Store,0.194864408356755
21,6507,12159,1767.2995390029128,Australia,2020-02-10 23:42:42.204467634,0.1489777995637702,No,In-Store,0.10414363351186669
22,3342,17763,4657.776085887201,Asia,2020-02-10 23:42:42.204467634,0.15984469654563593,No,In-Store,0.12483021307198164
23,12175,1085,1201.8758605556354,Europe,2020-02-10 23:42:42.204467634,0.2928503495645661,No,In-Store,0.1201402963273646
24,7507,17295,963.0201231410654,South America,2020-02-10 23:42:42.204467634,0.23289402452090824,No,In-Store,0.08232975456312173
25,12685,5058,1996.7591494164712,Australia,2020-02-10 23:42:42.204467634,0.10855345505166683,No,Online,0.10992307057825626
